,Education,City_Prague,Gender_Male,Loan term_4.0_12.0,Loan term_12.0_18.0,Loan term_18.0_24.0,Loan term_24.0_72.0,Loan Amount_250.0_1348.25,Loan Amount_1348.25_2325.5,Loan Amount_2325.5_3963.5,Loan Amount_3963.5_18424.0,Years since application_3.0_5.0,Years since application_5.0_8.0,Years since application_8.0_11.0,Years since application_11.0_13.0,Age_24.0_35.0,Age_35.0_41.0,Age_41.0_49.0,Age_49.0_73.0,DEFAULT
256,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
257,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
258,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
259,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
260,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
261,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
262,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
263,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
264,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
265,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
266,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
267,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
268,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
269,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
270,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
271,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
272,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
273,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
274,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
275,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
276,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
277,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
278,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
279,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
280,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
281,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
282,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
283,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
284,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
285,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
286,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
287,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
288,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
289,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
290,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
291,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
292,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
293,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
294,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
295,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
296,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
297,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
298,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
299,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
300,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
301,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
302,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
303,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
304,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
305,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
306,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
307,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
308,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
309,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
310,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
311,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
312,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
313,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
314,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
315,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
